Designation,Name,Location,Level_and_involvement,Total_applicants,Industry_and_Employee_count,LinkedIn_Followers
Technical Lead,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,8 applicants,"10,001+ employees · IT Services and IT Consulting",
Data Analyst,JLL,"Gurgaon, Haryana, India",Full-time · Entry level,,"10,001+ employees · Real Estate",
Informatica Developer,Infosys,India,Full-time · Associate,162 applicants,"10,001+ employees · IT Services and IT Consulting",
Assistant Manager-BFS024321,Genpact,"Bengaluru, Karnataka, India",Full-time · Associate,55 applicants,"10,001+ employees · IT Services and IT Consulting",
Technical Lead,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,6 applicants,"10,001+ employees · IT Services and IT Consulting",
Sr Associate - Transaction processing,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Entry level,5 applicants,"10,001+ employees · IT Services and IT Consulting",
Technical Lead,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,34 applicants,"10,001+ employees · IT Services and IT Consulting",
Lead-Trans Processing (IND01-DR13AS),Sutherland,"Mumbai, Maharashtra, India",Full-time · Entry level,,"10,001+ employees · IT Services and IT Consulting",
Lead Administrator,Wipro,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,8 applicants,"10,001+ employees · IT Services and IT Consulting",
MT-O2C-INS016260,Genpact,"Gurugram, Haryana, India",Full-time · Associate,56 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst - Oracle PL/SQL (3-5 years) -Gurgaon,Infosys,"Gurugram, Haryana, India",Full-time · Mid-Senior level,24 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,935 followers"
Technical Lead,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,40 applicants,"10,001+ employees · IT Services and IT Consulting",
Android Developer- WFH,Uplers,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,41 applicants,"1,001-5,000 employees · IT Services and IT Consulting","668,162 followers"
Assistant Manager-BFS024323,Genpact,"Bengaluru, Karnataka, India",Full-time · Associate,25 applicants,"10,001+ employees · IT Services and IT Consulting",
Developer,Wipro,"Delhi, Delhi, India",Full-time · Entry level,,"10,001+ employees · IT Services and IT Consulting",
Assurance - Consultant,EY,"Kolkata, West Bengal, India",Full-time · Associate,8 applicants,"10,001+ employees · Accounting",
Technical Lead,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,51 applicants,"10,001+ employees · IT Services and IT Consulting",
