Designation,Name,Location,Level_and_involvement,Total_applicants,Industry_and_Employee_count,LinkedIn_Followers
Lead I - SRE,UST,"Thiruvananthapuram, Kerala, India",Full-time · Mid-Senior level,,"10,001+ employees · IT Services and IT Consulting",
Techno Functional Consultant,Wipro,"Chennai, Tamil Nadu, India",Full-time · Mid-Senior level,5 applicants,"10,001+ employees · IT Services and IT Consulting",
TCS BPS hiring For Insurance Analyst-Hyderabad,Tata Consultancy Services,"Hyderabad, Telangana, India",Full-time · Mid-Senior level,,"10,001+ employees · IT Services and IT Consulting","11,322,084 followers"
Project Manager,Wipro,"Chandigarh, Chandigarh, India",Full-time · Entry level,66 applicants,"10,001+ employees · IT Services and IT Consulting",
Technology Analyst,Infosys,"Chandigarh, India",Full-time · Associate,49 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,809 followers"
Data Quality Analyst,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,,"10,001+ employees · IT Services and IT Consulting","6,403,753 followers"
Consultant - Payments,Infosys,"Bangalore Urban, Karnataka, India",Full-time · Associate,134 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,810 followers"
Assistant Technical Manager,JLL,"Mumbai, Maharashtra, India",Full-time · Mid-Senior level,18 applicants,"10,001+ employees · Real Estate",
OTC Collections || HYD,Genpact,"Hyderabad, Telangana, India",Full-time · Associate,149 applicants,"10,001+ employees · IT Services and IT Consulting","2,257,996 followers"
Technology Analyst,Infosys,"Chandigarh, India",Full-time · Associate,48 applicants,"10,001+ employees · IT Services and IT Consulting","6,456,810 followers"
Specialist - Data Engineering,LTIMindtree,"Chennai, Tamil Nadu, India",Full-time · Entry level,2 applicants,"10,001+ employees · IT Services and IT Consulting",
Administrator,Wipro,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,46 applicants,"10,001+ employees · IT Services and IT Consulting",
SQL & Jasper Reports Developer,Sutherland,"Chennai, Tamil Nadu, India",Full-time · Entry level,7 applicants,"10,001+ employees · IT Services and IT Consulting",
Associate Manager - Software development,Sutherland,"Bengaluru, Karnataka, India",Full-time · Mid-Senior level,3 applicants,"10,001+ employees · IT Services and IT Consulting",
